-10000,0
-9922,735
-9844,1467
-9765,2191
-9687,2902
-9608,3598
-9530,4275
-9451,4928
-9373,5555
-9295,6152
-9216,6715
-9138,7242
-9059,7730
-8981,8175
-8902,8577
-8824,8932
-8746,9238
-8667,9495
-8589,9700
-8510,9852
-8432,9951
-8353,9996
-8275,9987
-8197,9924
-8118,9807
-8040,9637
-7961,9415
-7883,9142
-7804,8819
-7726,8448
-7648,8032
-7569,7572
-7491,7071
-7412,6531
-7334,5956
-7255,5349
-7177,4713
-7099,4052
-7020,3368
-6942,2667
-6863,1950
-6785,1224
-6706,490
-6628,-245
-6550,-980
-6471,-1709
-6393,-2429
-6314,-3136
-6236,-3826
-6157,-4496
-6079,-5141
-6000,-5758
-5922,-6343
-5844,-6895
-5765,-7409
-5687,-7883
-5608,-8314
-5530,-8700
-5451,-9039
-5373,-9329
-5295,-9569
-5216,-9757
-5138,-9891
-5059,-9972
-4981,-10000
-4902,-9972
-4824,-9891
-4746,-9757
-4667,-9569
-4589,-9329
-4510,-9039
-4432,-8700
-4353,-8314
-4275,-7883
-4197,-7409
-4118,-6895
-4040,-6343
-3961,-5758
-3883,-5141
-3804,-4496
-3726,-3826
-3648,-3136
-3569,-2429
-3491,-1709
-3412,-980
-3334,-245
-3255,490
-3177,1224
-3099,1950
-3020,2667
-2942,3368
-2863,4052
-2785,4713
-2706,5349
-2628,5956
-2550,6531
-2471,7071
-2393,7572
-2314,8032
-2236,8448
-2157,8819
-2079,9142
-2000,9415
-1922,9637
-1844,9807
-1765,9924
-1687,9987
-1608,9996
-1530,9951
-1451,9852
-1373,9700
-1295,9495
-1216,9238
-1138,8932
-1059,8577
-981,8175
-902,7730
-824,7242
-746,6715
-667,6152
-589,5555
-510,4928
-432,4275
-353,3598
-275,2902
-197,2191
-118,1467
-40,735
39,0
117,-735
196,-1467
274,-2191
352,-2902
431,-3598
509,-4275
588,-4928
666,-5555
745,-6152
823,-6715
901,-7242
980,-7730
1058,-8175
1137,-8577
1215,-8932
1294,-9238
1372,-9495
1450,-9700
1529,-9852
1607,-9951
1686,-9996
1764,-9987
1843,-9924
1921,-9807
2000,-9637
2078,-9415
2156,-9142
2235,-8819
2313,-8448
2392,-8032
2470,-7572
2549,-7071
2627,-6531
2705,-5956
2784,-5349
2862,-4713
2941,-4052
3019,-3368
3098,-2667
3176,-1950
3254,-1224
3333,-490
3411,245
3490,980
3568,1709
3647,2429
3725,3136
3803,3826
3882,4496
3960,5141
4039,5758
4117,6343
4196,6895
4274,7409
4352,7883
4431,8314
4509,8700
4588,9039
4666,9329
4745,9569
4823,9757
4901,9891
4980,9972
5058,10000
5137,9972
5215,9891
5294,9757
5372,9569
5450,9329
5529,9039
5607,8700
5686,8314
5764,7883
5843,7409
5921,6895
6000,6343
6078,5758
6156,5141
6235,4496
6313,3826
6392,3136
6470,2429
6549,1709
6627,980
6705,245
6784,-490
6862,-1224
6941,-1950
7019,-2667
7098,-3368
7176,-4052
7254,-4713
7333,-5349
7411,-5956
7490,-6531
7568,-7071
7647,-7572
7725,-8032
7803,-8448
7882,-8819
7960,-9142
8039,-9415
8117,-9637
8196,-9807
8274,-9924
8352,-9987
8431,-9996
8509,-9951
8588,-9852
8666,-9700
8745,-9495
8823,-9238
8901,-8932
8980,-8577
9058,-8175
9137,-7730
9215,-7242
9294,-6715
9372,-6152
9450,-5555
9529,-4928
9607,-4275
9686,-3598
9764,-2902
9843,-2191
9921,-1467
10000,-735
